base_ratio_a,true_ratio_a,accident_place,accident_place_feature,vehicle_a_progress_info,vehicle_b_progress_info
30.0,30,직선 도로,차로변경(진로변경),후행 직진,선행 진로변경
0.0,0,직선 도로,추돌 사고,주(정)차,후행 추돌
30.0,30,직선 도로,차로변경(진로변경),후행 직진,선행 진로변경
100.0,100,직선 도로,차로변경(진로변경),정체차로에서 대기 중 진로변경(측면 충돌),직진(측면 충돌)
0.0,0,직선 도로,추돌 사고,주(정)차,후행 추돌
50.0,50,직선 도로,차로변경(진로변경),동시 차로변경(진로변경),동시 차로변경(진로변경)
100.0,100,직선 도로,추돌 사고,후행 추돌,선행 직진
30.0,30,직선 도로,차로변경(진로변경),후행 직진,선행 진로변경
0.0,0,직선 도로,추돌 사고,주(정)차,후행 추돌
30.0,30,직선 도로,차로변경(진로변경),후행 직진,선행 진로변경
30.0,30,직선 도로,차로변경(진로변경),후행 직진,선행 진로변경
30.0,30,직선 도로,차로변경(진로변경),후행 직진,선행 진로변경
100.0,100,직선 도로,추돌 사고,후행 추돌,선행 직진
100.0,100,직선 도로,추돌 사고,후행 추돌,선행 직진
40.0,40,직선 도로,차로 감소 도로 (합류),본선에서 직진,차로 감소 도로에서 본선으로 합류
30.0,30,직선 도로,차로변경(진로변경),후행 직진,선행 진로변경
30.0,30,직선 도로,차로변경(진로변경),후행 직진,선행 진로변경
100.0,100,직선 도로,차로변경(진로변경),정체차로에서 대기 중 진로변경(측면 충돌),직진(측면 충돌)
30.0,30,직선 도로,차로변경(진로변경),후행 직진,선행 진로변경
0.0,0,직선 도로,추월 사고,선행 직진,추월(실선 중앙선)
30.0,30,직선 도로,차로변경(진로변경),후행 직진,선행 진로변경
30.0,30,직선 도로,차로변경(진로변경),후행 직진,선행 진로변경
100.0,100,직선 도로,차로변경(진로변경),정체차로에서 대기 중 진로변경(측면 충돌),직진(측면 충돌)
30.0,30,직선 도로,차로변경(진로변경),후행 직진,선행 진로변경
50.0,50,직선 도로,차로변경(진로변경),동시 차로변경(진로변경),동시 차로변경(진로변경)
0.0,0,직선 도로,추돌 사고,주(정)차,후행 추돌
0.0,0,직선 도로,역주행 사고(중앙선 침범),직진,중앙선 침범 직진
30.0,30,직선 도로,차로변경(진로변경),후행 직진,선행 진로변경
30.0,30,직선 도로,차로변경(진로변경),후행 직진,선행 진로변경
100.0,100,직선 도로,안전지대 통과 사고,후행 직진(안전지대 벗어나기 전),선행 진로변경
100.0,100,직선 도로,추돌 사고,후행 추돌,선행 직진
30.0,30,직선 도로,차로변경(진로변경),후행 직진,선행 진로변경
30.0,30,직선 도로,차로변경(진로변경),후행 직진,선행 진로변경
30.0,30,직선 도로,차로변경(진로변경),후행 직진,선행 진로변경
30.0,30,직선 도로,차로변경(진로변경),후행 직진,선행 진로변경
50.0,50,직선 도로,차로변경(진로변경),동시 차로변경(진로변경),동시 차로변경(진로변경)
30.0,30,직선 도로,차로변경(진로변경),후행 직진,선행 진로변경
30.0,30,직선 도로,차로변경(진로변경),후행 직진,선행 진로변경
0.0,0,직선 도로,추돌 사고,주(정)차,후행 추돌
30.0,30,직선 도로,차로변경(진로변경),후행 직진,선행 진로변경
0.0,0,직선 도로,역주행 사고(중앙선 침범),직진,중앙선 침범 직진
30.0,30,직선 도로,차로변경(진로변경),후행 직진,선행 진로변경
0.0,0,직선 도로,추돌 사고,주(정)차,후행 추돌
30.0,30,직선 도로,차로변경(진로변경),후행 직진,선행 진로변경
100.0,100,직선 도로,추돌 사고,후행 추돌,선행 직진
0.0,0,직선 도로,추돌 사고,주(정)차,후행 추돌
0.0,0,직선 도로,추돌 사고,주(정)차,후행 추돌
100.0,100,직선 도로,추돌 사고,후행 추돌,선행 직진
30.0,30,직선 도로,차로변경(진로변경),후행 직진,선행 진로변경
30.0,30,직선 도로,차로변경(진로변경),후행 직진,선행 진로변경
30.0,30,직선 도로,차로변경(진로변경),후행 직진,선행 진로변경
100.0,100,직선 도로,차로변경(진로변경),정체차로에서 대기 중 진로변경(측면 충돌),직진(측면 충돌)
80.0,80,직선 도로,정차 후 출발 사고,정차 후 출발,추월
30.0,30,직선 도로,차로변경(진로변경),후행 직진,선행 진로변경
30.0,30,직선 도로,차로변경(진로변경),후행 직진,선행 진로변경
100.0,100,직선 도로,추돌 사고,후행 추돌,선행 직진
0.0,0,직선 도로,추돌 사고,주(정)차,후행 추돌
100.0,100,직선 도로,추돌 사고,후행 추돌,선행 직진
30.0,30,직선 도로,차로변경(진로변경),후행 직진,선행 진로변경
100.0,100,직선 도로,추돌 사고,후행 추돌,선행 직진
30.0,30,직선 도로,차로변경(진로변경),후행 직진,선행 진로변경
0.0,0,직선 도로,추돌 사고,주(정)차,후행 추돌
0.0,0,직선 도로,추돌 사고,주(정)차,후행 추돌
0.0,0,직선 도로,추돌 사고,주(정)차,후행 추돌
100.0,100,직선 도로,추돌 사고,후행 추돌,선행 직진
100.0,100,직선 도로,추월 사고,실선 추월,선행 직진
100.0,100,직선 도로,추돌 사고,후행 추돌,선행 직진
100.0,100,직선 도로,추돌 사고,후행 추돌,선행 직진
30.0,30,직선 도로,차로변경(진로변경),후행 직진,선행 진로변경
30.0,30,직선 도로,차로변경(진로변경),후행 직진,선행 진로변경
100.0,100,직선 도로,추돌 사고,후행 추돌,선행 직진
50.0,50,직선 도로,차로변경(진로변경),동시 차로변경(진로변경),동시 차로변경(진로변경)
0.0,0,직선 도로,역주행 사고(중앙선 침범),직진,중앙선 침범 직진
100.0,100,직선 도로,차로변경(진로변경),정체차로에서 대기 중 진로변경(측면 충돌),직진(측면 충돌)
100.0,100,직선 도로,추돌 사고,후행 추돌,선행 직진
30.0,30,직선 도로,차로변경(진로변경),후행 직진,선행 진로변경
30.0,30,직선 도로,차로변경(진로변경),후행 직진,선행 진로변경
50.0,50,직선 도로,차로변경(진로변경),동시 차로변경(진로변경),동시 차로변경(진로변경)
100.0,100,직선 도로,추돌 사고,후행 추돌,선행 직진
100.0,100,직선 도로,차로변경(진로변경),정체차로에서 대기 중 진로변경(측면 충돌),직진(측면 충돌)
0.0,0,직선 도로,추돌 사고,주(정)차,후행 추돌
30.0,30,직선 도로,차로변경(진로변경),후행 직진,선행 진로변경
0.0,0,직선 도로,추돌 사고,주(정)차,후행 추돌
30.0,30,직선 도로,차로변경(진로변경),후행 직진,선행 진로변경
100.0,100,직선 도로,추돌 사고,후행 추돌,선행 직진
100.0,100,직선 도로,추돌 사고,후행 추돌,선행 직진
30.0,30,직선 도로,차로변경(진로변경),후행 직진,선행 진로변경
30.0,30,직선 도로,차로변경(진로변경),후행 직진,선행 진로변경
30.0,30,직선 도로,차로변경(진로변경),후행 직진,선행 진로변경
100.0,100,직선 도로,추돌 사고,후행 추돌,선행 직진
100.0,100,직선 도로,차로변경(진로변경),정체차로에서 대기 중 진로변경(측면 충돌),직진(측면 충돌)
30.0,30,직선 도로,차로변경(진로변경),후행 직진,선행 진로변경
30.0,30,직선 도로,차로변경(진로변경),후행 직진,선행 진로변경
30.0,30,직선 도로,차로변경(진로변경),후행 직진,선행 진로변경
30.0,30,직선 도로,차로변경(진로변경),후행 직진,선행 진로변경
100.0,100,직선 도로,추돌 사고,후행 추돌,선행 직진
30.0,30,직선 도로,차로변경(진로변경),후행 직진,선행 진로변경
30.0,30,직선 도로,차로변경(진로변경),후행 직진,선행 진로변경
100.0,100,직선 도로,추돌 사고,후행 추돌,선행 직진
100.0,100,직선 도로,추돌 사고,후행 추돌,선행 직진
100.0,100,직선 도로,추돌 사고,후행 추돌,선행 직진
80.0,80,직선 도로,정차 후 출발 사고,정차 후 출발,추월
0.0,0,직선 도로,추돌 사고,주(정)차,후행 추돌
30.0,30,직선 도로,차로변경(진로변경),후행 직진,선행 진로변경
0.0,0,직선 도로,추돌 사고,주(정)차,후행 추돌
30.0,30,직선 도로,차로변경(진로변경),후행 직진,선행 진로변경
30.0,30,직선 도로,차로변경(진로변경),후행 직진,선행 진로변경
100.0,100,직선 도로,추돌 사고,후행 추돌,선행 직진
100.0,100,직선 도로,추돌 사고,후행 추돌,선행 직진
30.0,30,직선 도로,차로변경(진로변경),후행 직진,선행 진로변경
30.0,30,직선 도로,차로변경(진로변경),후행 직진,선행 진로변경
30.0,30,직선 도로,차로변경(진로변경),후행 직진,선행 진로변경
30.0,30,직선 도로,차로변경(진로변경),후행 직진,선행 진로변경
30.0,30,직선 도로,차로변경(진로변경),후행 직진,선행 진로변경
30.0,30,직선 도로,차로변경(진로변경),후행 직진,선행 진로변경
0.0,0,직선 도로,추돌 사고,주(정)차,후행 추돌
30.0,30,직선 도로,차로변경(진로변경),후행 직진,선행 진로변경
50.0,50,직선 도로,차로변경(진로변경),동시 차로변경(진로변경),동시 차로변경(진로변경)
0.0,0,직선 도로,추돌 사고,주(정)차,후행 추돌
30.0,30,직선 도로,차로변경(진로변경),후행 직진,선행 진로변경
30.0,30,직선 도로,차로변경(진로변경),후행 직진,선행 진로변경
50.0,50,직선 도로,차로변경(진로변경),동시 차로변경(진로변경),동시 차로변경(진로변경)
100.0,100,직선 도로,차로변경(진로변경),정체차로에서 대기 중 진로변경(측면 충돌),직진(측면 충돌)
30.0,30,직선 도로,차로변경(진로변경),후행 직진,선행 진로변경
30.0,30,직선 도로,차로변경(진로변경),후행 직진,선행 진로변경
100.0,100,직선 도로,추월 사고,실선 추월,선행 직진
30.0,30,직선 도로,차로변경(진로변경),후행 직진,선행 진로변경
100.0,100,직선 도로,추돌 사고,후행 추돌,선행 직진
0.0,0,직선 도로,추돌 사고,주(정)차,후행 추돌
30.0,30,직선 도로,차로변경(진로변경),후행 직진,선행 진로변경
30.0,30,직선 도로,차로변경(진로변경),후행 직진,선행 진로변경
100.0,100,직선 도로,추돌 사고,후행 추돌,선행 직진
30.0,30,직선 도로,차로변경(진로변경),후행 직진,선행 진로변경
0.0,0,직선 도로,추돌 사고,주(정)차,후행 추돌
100.0,100,직선 도로,차로변경(진로변경),정체차로에서 대기 중 진로변경(측면 충돌),직진(측면 충돌)
30.0,30,직선 도로,차로변경(진로변경),후행 직진,선행 진로변경
100.0,100,직선 도로,추돌 사고,후행 추돌,선행 직진
80.0,80,직선 도로,정차 후 출발 사고,정차 후 출발,추월
30.0,30,직선 도로,차로변경(진로변경),후행 직진,선행 진로변경
30.0,30,직선 도로,차로변경(진로변경),후행 직진,선행 진로변경
0.0,0,직선 도로,추돌 사고,주(정)차,후행 추돌
30.0,30,직선 도로,차로변경(진로변경),후행 직진,선행 진로변경
100.0,100,직선 도로,추돌 사고,후행 추돌,선행 직진
100.0,100,직선 도로,추돌 사고,후행 추돌,선행 직진
30.0,30,직선 도로,차로변경(진로변경),후행 직진,선행 진로변경
0.0,0,직선 도로,추돌 사고,주(정)차,후행 추돌
40.0,40,직선 도로,차로 감소 도로 (합류),본선에서 직진,차로 감소 도로에서 본선으로 합류
100.0,100,직선 도로,추돌 사고,후행 추돌,선행 직진
100.0,100,직선 도로,추돌 사고,후행 추돌,선행 직진
0.0,0,직선 도로,추돌 사고,주(정)차,후행 추돌
30.0,30,직선 도로,차로변경(진로변경),후행 직진,선행 진로변경
30.0,30,직선 도로,차로변경(진로변경),후행 직진,선행 진로변경
30.0,30,직선 도로,차로변경(진로변경),후행 직진,선행 진로변경
0.0,0,직선 도로,추돌 사고,주(정)차,후행 추돌
0.0,0,직선 도로,추돌 사고,주(정)차,후행 추돌
100.0,100,직선 도로,차로변경(진로변경),정체차로에서 대기 중 진로변경(측면 충돌),직진(측면 충돌)
0.0,0,직선 도로,추돌 사고,주(정)차,후행 추돌
50.0,50,직선 도로,차로변경(진로변경),동시 차로변경(진로변경),동시 차로변경(진로변경)
30.0,30,직선 도로,차로변경(진로변경),후행 직진,선행 진로변경
0.0,0,직선 도로,추돌 사고,주(정)차,후행 추돌
0.0,0,직선 도로,추돌 사고,주(정)차,후행 추돌
100.0,100,직선 도로,추돌 사고,후행 추돌,선행 직진
0.0,0,직선 도로,추돌 사고,주(정)차,후행 추돌
100.0,100,직선 도로,추돌 사고,후행 추돌,선행 직진
100.0,100,직선 도로,추돌 사고,후행 추돌,선행 직진
30.0,30,직선 도로,차로변경(진로변경),후행 직진,선행 진로변경
30.0,30,직선 도로,차로변경(진로변경),후행 직진,선행 진로변경
80.0,80,직선 도로,정차 후 출발 사고,정차 후 출발,추월
30.0,30,직선 도로,차로변경(진로변경),후행 직진,선행 진로변경
0.0,0,직선 도로,추돌 사고,주(정)차,후행 추돌
100.0,100,직선 도로,추돌 사고,후행 추돌,선행 직진
30.0,30,직선 도로,차로변경(진로변경),후행 직진,선행 진로변경
100.0,100,직선 도로,추돌 사고,후행 추돌,선행 직진
30.0,30,직선 도로,차로변경(진로변경),후행 직진,선행 진로변경
30.0,30,직선 도로,차로변경(진로변경),후행 직진,선행 진로변경
0.0,0,직선 도로,추돌 사고,주(정)차,후행 추돌
30.0,30,직선 도로,차로변경(진로변경),후행 직진,선행 진로변경
30.0,30,직선 도로,차로변경(진로변경),후행 직진,선행 진로변경
100.0,100,직선 도로,추돌 사고,후행 추돌,선행 직진
0.0,0,직선 도로,추월 사고,선행 직진,급접거리 추월(점선 중앙선)
30.0,30,직선 도로,차로변경(진로변경),후행 직진,선행 진로변경
30.0,30,직선 도로,차로변경(진로변경),후행 직진,선행 진로변경
30.0,30,직선 도로,차로변경(진로변경),후행 직진,선행 진로변경
100.0,100,직선 도로,차로변경(진로변경),정체차로에서 대기 중 진로변경(측면 충돌),직진(측면 충돌)
0.0,0,직선 도로,추돌 사고,주(정)차,후행 추돌
100.0,100,직선 도로,차로변경(진로변경),정체차로에서 대기 중 진로변경(측면 충돌),직진(측면 충돌)
100.0,100,직선 도로,추돌 사고,후행 추돌,선행 직진
30.0,30,직선 도로,차로변경(진로변경),후행 직진,선행 진로변경
30.0,30,직선 도로,차로변경(진로변경),후행 직진,선행 진로변경
100.0,100,직선 도로,차로변경(진로변경),정체차로에서 대기 중 진로변경(측면 충돌),직진(측면 충돌)
50.0,50,직선 도로,차로변경(진로변경),동시 차로변경(진로변경),동시 차로변경(진로변경)
30.0,30,직선 도로,차로변경(진로변경),후행 직진,선행 진로변경
90.0,90,직선 도로,긴급자동차 사고,후행 직진,선행 진로변경(긴급자동차)
0.0,0,직선 도로,추돌 사고,주(정)차,후행 추돌
30.0,30,직선 도로,차로변경(진로변경),후행 직진,선행 진로변경
100.0,100,직선 도로,추돌 사고,후행 추돌,선행 직진
0.0,0,직선 도로,추돌 사고,주(정)차,후행 추돌
30.0,30,직선 도로,차로변경(진로변경),후행 직진,선행 진로변경
0.0,0,직선 도로,추돌 사고,주(정)차,후행 추돌
80.0,80,직선 도로,정차 후 출발 사고,정차 후 출발,추월
100.0,100,직선 도로,추돌 사고,후행 추돌,선행 직진
30.0,30,직선 도로,차로변경(진로변경),후행 직진,선행 진로변경
0.0,0,직선 도로,추돌 사고,주(정)차,후행 추돌
40.0,40,직선 도로,차로 감소 도로 (합류),본선에서 직진,차로 감소 도로에서 본선으로 합류
80.0,80,직선 도로,정차 후 출발 사고,정차 후 출발,추월
100.0,100,직선 도로,추돌 사고,후행 추돌,선행 직진
100.0,100,직선 도로,추돌 사고,후행 추돌,선행 직진
30.0,30,직선 도로,차로변경(진로변경),후행 직진,선행 진로변경
100.0,100,직선 도로,차로변경(진로변경),정체차로에서 대기 중 진로변경(측면 충돌),직진(측면 충돌)
30.0,30,직선 도로,차로변경(진로변경),후행 직진,선행 진로변경
100.0,100,직선 도로,안전지대 통과 사고,후행 직진(안전지대 벗어나기 전),선행 진로변경
100.0,100,직선 도로,추돌 사고,후행 추돌,선행 직진
0.0,0,직선 도로,추월 사고,선행 직진,급접거리 추월(점선 중앙선)
100.0,100,직선 도로,추돌 사고,후행 추돌,선행 직진
50.0,50,직선 도로,차로변경(진로변경),동시 차로변경(진로변경),동시 차로변경(진로변경)
30.0,30,직선 도로,차로변경(진로변경),후행 직진,선행 진로변경
30.0,30,직선 도로,차로변경(진로변경),후행 직진,선행 진로변경
100.0,100,직선 도로,추돌 사고,후행 추돌,선행 직진
100.0,100,직선 도로,추돌 사고,후행 추돌,선행 직진
100.0,100,직선 도로,차로변경(진로변경),정체차로에서 대기 중 진로변경(측면 충돌),직진(측면 충돌)
0.0,0,직선 도로,추돌 사고,주(정)차,후행 추돌
30.0,30,직선 도로,차로변경(진로변경),후행 직진,선행 진로변경
30.0,30,직선 도로,차로변경(진로변경),후행 직진,선행 진로변경
30.0,30,직선 도로,차로변경(진로변경),후행 직진,선행 진로변경
30.0,30,직선 도로,차로변경(진로변경),후행 직진,선행 진로변경
100.0,100,직선 도로,추돌 사고,후행 추돌,선행 직진
100.0,100,직선 도로,추돌 사고,후행 추돌,선행 직진
100.0,100,직선 도로,추돌 사고,후행 추돌,선행 직진
0.0,0,직선 도로,추돌 사고,주(정)차,후행 추돌
30.0,30,직선 도로,차로변경(진로변경),후행 직진,선행 진로변경
0.0,0,직선 도로,추돌 사고,주(정)차,후행 추돌
0.0,0,직선 도로,추돌 사고,주(정)차,후행 추돌
30.0,30,직선 도로,차로변경(진로변경),후행 직진,선행 진로변경
30.0,30,직선 도로,차로변경(진로변경),후행 직진,선행 진로변경
30.0,30,직선 도로,차로변경(진로변경),후행 직진,선행 진로변경
30.0,30,직선 도로,차로변경(진로변경),후행 직진,선행 진로변경
30.0,30,직선 도로,차로변경(진로변경),후행 직진,선행 진로변경
30.0,30,직선 도로,차로변경(진로변경),후행 직진,선행 진로변경
30.0,30,직선 도로,차로변경(진로변경),후행 직진,선행 진로변경
0.0,0,직선 도로,추돌 사고,주(정)차,후행 추돌
0.0,0,직선 도로,추돌 사고,주(정)차,후행 추돌
0.0,0,직선 도로,역주행 사고(중앙선 침범),직진,중앙선 침범 직진
0.0,0,직선 도로,추돌 사고,주(정)차,후행 추돌
30.0,30,직선 도로,차로변경(진로변경),후행 직진,선행 진로변경
100.0,100,직선 도로,추돌 사고,후행 추돌,선행 직진
0.0,0,직선 도로,추돌 사고,주(정)차,후행 추돌
30.0,30,직선 도로,차로변경(진로변경),후행 직진,선행 진로변경
100.0,100,직선 도로,추돌 사고,후행 추돌,선행 직진
100.0,100,직선 도로,추돌 사고,후행 추돌,선행 직진
30.0,30,직선 도로,차로변경(진로변경),후행 직진,선행 진로변경
0.0,0,직선 도로,역주행 사고(중앙선 침범),직진,중앙선 침범 직진
30.0,30,직선 도로,차로변경(진로변경),후행 직진,선행 진로변경
0.0,0,직선 도로,추돌 사고,주(정)차,후행 추돌
0.0,0,직선 도로,역주행 사고(중앙선 침범),직진,중앙선 침범 직진
0.0,0,직선 도로,역주행 사고(중앙선 침범),직진,중앙선 침범 직진
0.0,0,직선 도로,추돌 사고,주(정)차,후행 추돌
0.0,0,직선 도로,추돌 사고,주(정)차,후행 추돌
100.0,100,직선 도로,추돌 사고,후행 추돌,선행 직진
0.0,0,직선 도로,추돌 사고,주(정)차,후행 추돌
0.0,0,직선 도로,추돌 사고,주(정)차,후행 추돌
30.0,30,직선 도로,차로변경(진로변경),후행 직진,선행 진로변경
100.0,100,직선 도로,추돌 사고,후행 추돌,선행 직진
0.0,0,직선 도로,역주행 사고(중앙선 침범),직진,중앙선 침범 직진
100.0,100,직선 도로,차로변경(진로변경),정체차로에서 대기 중 진로변경(측면 충돌),직진(측면 충돌)
0.0,0,직선 도로,추돌 사고,주(정)차,후행 추돌
0.0,0,직선 도로,추돌 사고,주(정)차,후행 추돌
0.0,0,직선 도로,추돌 사고,주(정)차,후행 추돌
0.0,0,직선 도로,역주행 사고(중앙선 침범),직진,중앙선 침범 직진
0.0,0,직선 도로,역주행 사고(중앙선 침범),직진,중앙선 침범 직진
0.0,0,직선 도로,추돌 사고,주(정)차,후행 추돌
100.0,100,직선 도로,추돌 사고,후행 추돌,선행 직진
0.0,0,직선 도로,역주행 사고(중앙선 침범),직진,중앙선 침범 직진
0.0,0,직선 도로,추돌 사고,주(정)차,후행 추돌
30.0,30,직선 도로,차로변경(진로변경),후행 직진,선행 진로변경
0.0,0,직선 도로,추돌 사고,주(정)차,후행 추돌
0.0,0,직선 도로,추월 사고,선행 직진,추월(실선 중앙선)
100.0,100,직선 도로,추돌 사고,후행 추돌,선행 직진
30.0,30,직선 도로,차로변경(진로변경),후행 직진,선행 진로변경
100.0,100,직선 도로,추돌 사고,후행 추돌,선행 직진
30.0,30,직선 도로,차로변경(진로변경),후행 직진,선행 진로변경
